x,y
814.999680,536.500416
787.000320,537.500288
745.000320,540.499904
715.000320,544.500480
684.000000,542.499648
650.000640,540.499904
625.000320,538.500160
585.000960,540.499904
538.999680,541.000384
499.000320,544.000000
470.000640,535.000064
453.999360,534.499584
403.499520,540.000512
393.500160,535.999936
352.500480,533.000320
323.500800,535.000064
297.999360,532.000448
258.499200,531.499968
239.500800,532.000448
210.000000,528.999744
189.999360,525.000256
216.000000,526.000128
241.499520,522.500032
267.500160,520.500288
310.500480,518.499456
334.500480,516.000320
377.500800,498.499840
399.500160,488.500032
422.499840,475.000128
408.499200,466.499584
376.999680,452.999680
345.000960,442.500480
327.000960,450.499456
308.000640,468.500416
302.000640,478.500224
321.999360,494.500352
349.000320,506.000512
395.500800,509.000128
432.499200,510.999872
475.499520,515.000448
512.499840,518.499456
537.999360,526.499520
583.000320,535.500544
618.499200,532.000448
663.999360,527.000000
704.000640,524.000384
729.500160,526.000128
766.999680,518.499456
804.000000,502.500416
837.999360,492.499520
866.000640,481.499840
888.499200,467.999936
905.500800,475.499520
924.499200,492.000128
938.000640,505.500032
938.000640,513.999488
923.500800,511.999744
893.500800,511.999744
853.499520,510.000000
826.500480,508.499648
805.499520,518.000064
809.500800,535.999936
817.000320,542.000256
844.999680,541.499776
873.999360,537.500288
900.499200,534.000192
913.000320,537.500288
914.000640,541.499776
881.500800,541.499776
830.000640,540.499904
791.500800,537.999680
758.499840,540.499904
714.499200,539.500032
675.999360,535.500544
647.500800,538.500160
604.500480,537.500288
572.499840,536.500416
536.000640,536.500416
499.000320,536.500416
460.999680,530.500096
464.000640,517.499584
477.500160,512.500224
459.000960,501.500544
410.999040,496.500096
374.000640,489.499904
328.999680,485.500416
303.999360,475.000128
261.999360,466.499584
244.999680,468.500416
214.500480,477.500352
185.500800,484.000064
170.499840,481.000448
174.499200,482.000320
237.500160,500.000192
266.499840,512.999616
322.500480,521.999552
349.499520,527.999872
390.000000,535.000064
410.999040,533.000320
451.000320,537.500288
494.000640,536.500416
542.000640,539.500032
573.000960,538.500160
615.500160,539.500032
643.000320,534.000192
639.999360,524.499776
628.500480,522.500032
604.500480,518.499456
568.500480,514.499968
535.499520,510.999872
509.500800,509.000128
466.500480,507.000384
449.500800,500.000192
438.000000,482.499712
436.999680,466.499584
456.000000,464.499840
485.500800,470.500160
535.000320,477.999744
570.000000,468.500416
583.499520,457.000256
577.000320,451.500416
556.500480,450.999936
537.500160,460.999744
522.499200,468.999808
483.500160,475.000128
460.500480,476.999872
418.500480,482.000320
398.499840,484.000064
360.499200,484.000064
325.499520,482.000320
302.499840,482.000320
265.499520,495.999616
250.500480,496.999488
219.500160,507.000384
172.500480,506.000512
148.500480,503.999680
116.999040,503.999680
104.000640,510.000000
109.000320,508.000256
117.500160,510.500480
153.500160,524.499776
162.000000,528.999744
181.000320,532.000448
212.000640,527.000000
241.000320,531.499968
271.499520,534.499584
264.000000,533.000320
231.000960,531.499968
196.999680,530.500096
158.000640,532.499840
142.999680,529.500224
123.999360,528.500352
138.000000,523.499904
159.999360,524.000384
174.499200,530.500096
177.999360,534.000192
193.000320,524.000384
231.999360,531.499968
256.999680,528.500352
284.000640,533.499712
313.499520,534.000192
363.500160,535.999936
408.499200,535.999936
445.000320,536.500416
499.000320,535.500544
547.000320,537.500288
596.499840,536.500416
663.000960,535.500544
708.000000,539.500032
751.000320,538.500160
752.499840,541.499776
694.500480,542.000256
658.500480,540.000512
626.000640,534.000192
576.000000,540.499904
526.999680,538.500160
475.499520,536.999808
438.000000,535.999936
405.000960,535.999936
375.999360,535.000064
363.999360,533.000320
353.500800,526.499520
350.499840,512.500224
334.500480,514.499968
301.000320,517.000192
266.000640,515.000448
240.000000,516.000320
218.999040,516.000320
193.000320,510.999872
172.500480,491.499648
152.000640,478.500224
133.000320,485.500416
123.999360,485.500416
132.000000,476.500480
160.500480,478.999616
191.500800,479.500096
218.499840,475.499520
247.499520,465.499712
277.000320,460.999744
305.500800,467.999936
318.000000,464.499840
301.000320,465.000320
271.499520,464.499840
236.499840,463.499968
204.499200,464.499840
171.000960,467.500544
145.499520,476.999872
138.499200,484.999936
136.500480,484.999936
152.999040,487.999552
174.499200,495.999616
211.000320,512.999616
194.999040,519.500416
175.499520,523.499904
164.499840,530.999488
159.999360,534.499584
152.000640,523.499904
127.499520,527.999872
146.000640,527.999872
180.000000,527.999872
222.499200,533.000320
266.000640,528.999744
311.500800,533.000320
349.499520,532.499840
392.999040,535.000064
420.000000,535.000064
466.500480,534.000192
521.500800,535.999936
549.500160,534.000192
591.500160,534.000192
650.999040,536.500416
685.499520,535.500544
710.000640,533.499712
692.000640,528.500352
643.000320,526.499520
606.000000,524.499776
563.500800,514.499968
510.499200,512.500224
475.499520,512.999616
464.499840,519.999808
454.999680,527.000000
429.500160,535.000064
394.500480,535.000064
353.500800,533.499712
322.500480,532.499840
292.500480,530.500096
261.500160,529.500224
253.499520,532.499840
220.500480,534.000192
203.500800,532.000448
181.499520,530.999488
163.499520,530.500096
153.999360,533.000320
155.500800,526.499520
185.500800,527.999872
216.000000,534.000192
257.500800,532.499840
295.000320,535.000064
328.999680,533.000320
345.000960,535.000064
329.500800,531.499968
314.499840,529.500224
279.999360,520.500288
249.000960,519.500416
214.999680,517.499584
180.000000,514.499968
154.999680,510.500480
143.500800,511.500352
136.500480,509.499520
127.000320,498.499840
113.500800,492.000128
126.499200,477.999744
146.000640,475.000128
177.000960,471.500032
202.999680,469.500288
231.999360,468.999808
230.499840,464.000448
201.999360,459.500480
167.500800,455.499904
151.499520,451.500416
152.499840,455.000512
174.499200,459.500480
194.999040,460.500352
209.500800,452.500288
236.499840,461.500224
261.500160,464.499840
298.500480,464.000448
326.000640,450.499456
342.000000,445.500096
321.999360,448.499712
285.000960,455.499904
255.999360,457.499648
230.000640,459.500480
213.999360,457.499648
190.500480,457.000256
170.000640,458.000128
166.999680,472.000512
162.499200,473.499776
165.999360,479.500096
174.499200,475.000128
213.500160,484.000064
259.000320,501.000064
289.000320,511.999744
318.499200,520.500288
332.000640,526.499520
358.999680,528.500352
397.000320,530.500096
428.499840,533.000320
448.999680,535.000064
484.500480,538.500160
532.500480,536.999808
560.499840,535.999936
590.499840,533.000320
649.499520,534.499584
675.500160,537.500288
718.500480,540.000512
753.999360,538.999552
782.000640,540.000512
794.000640,536.500416
794.499840,535.999936
753.000960,539.500032
713.500800,537.500288
657.999360,535.000064
620.499840,535.000064
589.000320,536.999808
553.000320,534.499584
520.999680,534.499584
481.000320,534.499584
458.000640,530.999488
429.000960,534.499584
392.000640,527.999872
362.499840,531.499968
333.500160,533.000320
306.000000,531.499968
272.000640,530.999488
242.999040,528.500352
221.500800,532.499840
226.999680,532.000448
253.000320,531.499968
292.999680,534.000192
330.000000,532.000448
361.000320,534.000192
391.000320,534.499584
408.499200,532.499840
435.500160,533.000320
470.999040,533.000320
501.500160,533.000320
541.499520,536.500416
577.499520,535.999936
638.499840,535.000064
690.000000,536.999808
716.999040,537.500288
750.000000,540.000512
792.000000,543.000128
812.000640,541.000384
847.499520,537.500288
851.500800,536.999808
836.000640,538.999552
806.999040,538.500160
771.999360,537.500288
746.000640,536.500416
705.500160,535.999936
670.999680,536.999808
639.999360,534.000192
604.999680,534.000192
566.999040,535.500544
547.499520,533.499712
566.499840,535.999936
622.500480,537.500288
640.999680,536.500416
638.000640,535.500544
632.000640,533.000320
626.999040,527.500480
608.499840,520.999680
603.500160,515.499840
619.499520,510.999872
660.000000,508.000256
697.000320,511.999744
734.000640,516.000320
772.500480,513.999488
801.999360,506.000512
836.999040,488.500032
859.499520,474.499648
864.000000,473.000384
876.000000,461.500224
885.999360,446.499968
888.000000,440.499648
886.500480,452.500288
855.500160,467.500544
835.499520,475.499520
811.499520,482.499712
770.499840,490.499776
778.500480,477.999744
814.999680,479.500096
866.000640,487.500160
901.000320,477.999744
937.000320,470.500160
943.000320,489.499904
936.499200,495.500224
939.500160,483.499584
943.499520,465.000320
906.000000,467.999936
866.499840,475.000128
847.000320,450.000064
825.999360,453.999552
806.999040,485.999808
783.500160,504.500160
763.499520,508.000256
770.000640,494.999744
795.999360,489.499904
806.499840,489.499904
824.499840,489.499904
848.499840,494.500352
873.000960,497.499968
885.000960,503.500288
887.500800,511.999744
897.999360,509.000128
920.499840,507.499776
934.500480,511.500352
895.000320,518.499456
860.999040,519.500416
826.999680,524.499776
805.499520,532.499840
762.499200,540.499904
740.499840,543.499520
731.500800,538.999552
685.499520,541.000384
664.500480,538.999552
649.499520,535.000064
614.499840,536.999808
596.499840,535.000064
573.500160,525.499648
562.999680,518.000064
524.000640,515.000448
525.500160,518.000064
577.000320,523.499904
632.000640,522.500032
674.000640,523.499904
696.000000,519.500416
700.999680,508.499648
715.000320,502.500416
741.999360,499.000320
787.000320,503.999680
819.999360,509.000128
853.000320,507.000384
876.499200,498.499840
889.000320,496.500096
881.500800,491.499648
853.499520,484.499456
838.500480,476.999872
826.500480,469.999680
840.000000,477.500352
840.499200,485.500416
809.500800,492.499520
801.500160,498.499840
